ciclo_form,ano_t1,ano_t2,Ativo_A,Ativo_B,Setor_A,z_media,z_std,z_skew,z_kurt,pval_form
2020-2021,2022,2023,TAEE3,TAEE4,Utilidade pública,0.008183843643347117,0.2758956053392616,-0.5959210480117024,4.908844866029383,4.4881706427169636e-05
2020-2021,2022,2023,MOTV3,RAIL3,Bens industriais,0.004009738448584537,0.32089016043666135,0.6378695872246737,1.369391139241662,0.00022620685543382153
2020-2021,2022,2023,EZTC3,MTRE3,Consumo cíclico,0.03909048501588049,0.9468720618429014,-0.05294611766696398,0.7424410325368878,0.0002889497505983059
2020-2021,2022,2023,CPLE3,CPLE6,Utilidade pública,0.01844858638925772,0.29273586369192356,0.4618705935044112,2.676391558836884,0.0013197044173095748
2020-2021,2022,2023,ALOS3,PINE4,Financeiro,-0.0966666922071364,0.3689367931062928,-0.3603057511388721,-0.3387301595702441,0.0017119319590143836
2020-2021,2022,2023,TAEE11,TAEE3,Utilidade pública,-0.0017818932391976679,0.24552544672996032,0.08511626710689278,0.5707264940953896,0.0019358500384090247
2020-2021,2022,2023,CPFE3,SRNA3,Utilidade pública,0.2376070110032345,0.9520036596204388,-0.06944325070078657,2.0732556786021625,0.001947211614968672
2020-2021,2022,2023,ABCB4,ITUB3,Financeiro,0.018634296786565228,0.5381005345851615,0.24208140227478173,0.9268680693709728,0.0022548817287648187
2020-2021,2022,2023,YDUQ3,ZAMP3,Consumo cíclico,0.1104493226143379,1.372490709328232,0.7907385971422402,0.5200417643537376,0.002484565427172646
2020-2021,2022,2023,BRPR3,PINE4,Financeiro,0.6982454683929025,2.168291854628396,0.5687466105437189,3.8386779575790886,0.0027640149232504557
2020-2021,2022,2023,BBDC3,BBDC4,Financeiro,0.010870093667516362,0.24313914304019735,-0.3270559462429776,2.51691086239246,0.0027816499736215863
2020-2021,2022,2023,NEOE3,SBSP3,Utilidade pública,-0.02644637682626256,0.7611297062658959,-0.010066103104296545,1.572157571367935,0.003595961543102295
2020-2021,2022,2023,BRAP3,BRAP4,Materiais básicos,0.0042353530009007516,0.3667206340426436,-0.2847273642890729,1.3398279865979266,0.0036673159313695245
2020-2021,2022,2023,BRPR3,BRSR6,Financeiro,0.25258810372253354,2.385343615693775,0.7942334556472243,10.935161915988253,0.003674309250201171
2020-2021,2022,2023,LREN3,MRVE3,Consumo cíclico,-0.0919962731476588,0.8481554128261871,-0.1834511313709185,0.6425058671792305,0.004021830710472723
2020-2021,2022,2023,ITSA4,ITUB4,Financeiro,-0.03302242486235519,0.3013724057416995,-1.8795689427962414,10.805396008171313,0.0043242596647908695
2020-2021,2022,2023,NEOE3,SAPR11,Utilidade pública,-0.026410310224887584,0.6052652327501166,0.2943901741443571,1.6984471846690692,0.004354225722683503
2020-2021,2022,2023,NEOE3,SAPR4,Utilidade pública,-0.032792490425588725,0.8286429960976827,0.3819546387592976,1.5757194446483371,0.004359462258714703
2022-2023,2024,2025,TAEE11,TAEE3,Utilidade pública,0.009010837372942369,0.4633295519984542,0.2495047957475232,0.9284854428568332,4.760834917886125e-05
2022-2023,2024,2025,TAEE3,TAEE4,Utilidade pública,-0.001046069226553926,0.3942959966229223,-0.09602332157713701,1.0022617983963409,0.00012144915637387237
2022-2023,2024,2025,COGN3,VIVA3,Consumo cíclico,-0.003560472348030311,0.9908733099781849,0.2667033642761407,0.2395077595652615,0.0011636509169480492
2022-2023,2024,2025,EVEN3,TRIS3,Consumo cíclico,0.03663179922211521,1.1246692337440067,0.5586476837550747,1.8274611301874746,0.004136300039448148
2022-2023,2024,2025,B3SA3,ITSA4,Financeiro,-0.20019191919717433,0.687105690127167,-0.9761812864547244,6.6393423365363855,0.006359808904017107
2022-2023,2024,2025,EVEN3,VIVA3,Consumo cíclico,0.030090802145445274,0.9315423264666122,0.5464340066890383,2.2628468714711314,0.007463733967189897
